,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
HMGN1P8,3.0,3.0,3.0,0.0,0.0
TMEM189-UBE2V1,3.0,3.0,3.0,0.0,0.0
IL22RA1,3.0,3.0,3.0,0.0,0.0
IGLV3-22,3.0,3.0,3.0,0.0,0.0
PFN1P6,3.0,3.0,3.0,0.0,0.0
IGHV7-40,3.0,3.0,3.0,0.0,0.0
DDX39BP2,3.0,3.0,3.0,0.0,0.0
MED28P3,3.0,3.0,3.0,0.0,0.0
SCOCP1,3.0,3.0,3.0,0.0,0.0
RPS15AP38,3.0,3.0,3.0,0.0,0.0
CENPVP3,3.0,3.0,3.0,0.0,0.0
OR2L1P,3.0,3.0,3.0,0.0,0.0
PSORS1C2,3.0,3.0,3.0,0.0,0.0
MRPL45P1,3.0,3.0,3.0,0.0,0.0
UBA52P8,3.0,3.0,3.0,0.0,0.0
OR5J2,3.0,3.0,3.0,0.0,0.0
ZNF32-AS1,3.0,3.0,3.0,0.0,0.0
RNASE7,3.0,3.0,3.0,0.0,0.0
GAGE12C,3.0,3.0,3.0,0.0,0.0
GAGE12D,3.0,3.0,3.0,0.0,0.0
HAUS6P3,3.0,3.0,3.0,0.0,0.0
IGFBPL1,3.0,3.0,3.0,0.0,0.0
EEF1E1P1,3.0,3.0,3.0,0.0,0.0
CHCHD4P3,3.0,3.0,3.0,0.0,0.0
HOXD13,3.0,3.0,3.0,0.0,0.0
SNX18P26,3.0,3.0,3.0,0.0,0.0
NFYAP1,3.0,3.0,3.0,0.0,0.0
TRBV6-4,3.0,3.0,3.0,0.0,0.0
RPS12P31,3.0,3.0,3.0,0.0,0.0
CD5L,3.0,3.0,3.0,0.0,0.0
DCAF13P2,3.0,3.0,3.0,0.0,0.0
HMHB1,3.0,3.0,3.0,0.0,0.0
CTSG,3.0,3.0,3.0,0.0,0.0
IFNG,3.0,3.0,3.0,0.0,0.0
BNIP3P17,3.0,3.0,3.0,0.0,0.0
DDX26B-AS1,3.0,3.0,3.0,0.0,0.0
PIN4P1,3.0,3.0,3.0,0.0,0.0
OXT,3.0,3.0,3.0,0.0,0.0
CCND2-AS1,3.0,3.0,3.0,0.0,0.0
CTAGE4,3.0,3.0,3.0,0.0,0.0
RPL10P15,3.0,3.0,3.0,0.0,0.0
IGHV3-62,3.0,3.0,3.0,0.0,0.0
IFITM4P,3.0,3.0,3.0,0.0,0.0
RN7SKP150,3.0,3.0,3.0,0.0,0.0
HERC2P7,3.0,3.0,3.0,0.0,0.0
IGLC3,3.0,3.0,3.0,0.0,0.0
BTG1P1,3.0,3.0,3.0,0.0,0.0
ERICH2,3.0,3.0,3.0,0.0,0.0
CIR1P2,3.0,3.0,3.0,0.0,0.0
FABP5P11,3.0,3.0,3.0,0.0,0.0
TRGV2,3.0,3.0,3.0,0.0,0.0
PFN1P8,3.0,3.0,3.0,0.0,0.0
TRGV10,3.0,3.0,3.0,0.0,0.0
RPS20P10,3.0,3.0,3.0,0.0,0.0
LRRC52,3.0,3.0,3.0,0.0,0.0
RPL29P19,3.0,3.0,3.0,0.0,0.0
TRBV10-1,3.0,3.0,3.0,0.0,0.0
RPL31P49,3.0,3.0,3.0,0.0,0.0
SZT2-AS1,3.0,3.0,3.0,0.0,0.0
SKA2P1,3.0,3.0,3.0,0.0,0.0
MCF2L-AS1,3.0,3.0,3.0,0.0,0.0
TRGV8,3.0,3.0,3.0,0.0,0.0
HCCAT5,3.0,3.0,3.0,0.0,0.0
NPY6R,3.0,3.0,3.0,0.0,0.0
IFNWP19,3.0,3.0,3.0,0.0,0.0
RPL34P27,3.0,3.0,3.0,0.0,0.0
TRAV8-5,3.0,3.0,3.0,0.0,0.0
PFN1P3,3.0,3.0,3.0,0.0,0.0
IGLC5,3.0,3.0,3.0,0.0,0.0
HCG14,3.0,3.0,3.0,0.0,0.0
PCNPP3,3.0,3.0,3.0,0.0,0.0
OSTN-AS1,3.0,3.0,3.0,0.0,0.0
NDUFA5P11,3.0,3.0,3.0,0.0,0.0
H3F3BP1,3.0,3.0,3.0,0.0,0.0
AGGF1P6,3.0,3.0,3.0,0.0,0.0
DNAJC8P1,3.0,3.0,3.0,0.0,0.0
PLA2G4D,3.0,3.0,3.0,0.0,0.0
HLX-AS1,3.0,3.0,3.0,0.0,0.0
RNU2-17P,3.0,3.0,3.0,0.0,0.0
RPS12P28,3.0,3.0,3.0,0.0,0.0
ZNF350-AS1,3.0,3.0,3.0,0.0,0.0
DSCR4-IT1,3.0,3.0,3.0,0.0,0.0
CCL1,3.0,3.0,3.0,0.0,0.0
MKRN3-AS1,3.0,3.0,3.0,0.0,0.0
ATP6V0CP3,3.0,3.0,3.0,0.0,0.0
SPESP1,3.0,3.0,3.0,0.0,0.0
P3H2-AS1,3.0,3.0,3.0,0.0,0.0
RPL23AP3,3.0,3.0,3.0,0.0,0.0
GAPDHP22,3.0,3.0,3.0,0.0,0.0
CENPVP1,3.0,3.0,3.0,0.0,0.0
SUGT1P,3.0,3.0,3.0,0.0,0.0
TRGV5P,3.0,3.0,3.0,0.0,0.0
IGHG2,3.0,3.0,3.0,0.0,0.0
FAM83C-AS1,3.0,3.0,3.0,0.0,0.0
TMEM185AP1,3.0,3.0,3.0,0.0,0.0
SNRK-AS1,3.0,3.0,3.0,0.0,0.0
FAM8A6P,3.0,3.0,3.0,0.0,0.0
TMED10P1,3.0,3.0,3.0,0.0,0.0
ITLN1,3.0,3.0,3.0,0.0,0.0
COX7BP1,3.0,3.0,3.0,0.0,0.0
GJB5,3.0,3.0,3.0,0.0,0.0
WNT5A-AS1,3.0,3.0,3.0,0.0,0.0
KCNQ5-IT1,3.0,3.0,3.0,0.0,0.0
HDAC11-AS1,3.0,3.0,3.0,0.0,0.0
HMGB1P41,3.0,3.0,3.0,0.0,0.0
CGB2,3.0,3.0,3.0,0.0,0.0
RPL23AP32,3.0,3.0,3.0,0.0,0.0
ZNRF2P1,3.0,3.0,3.0,0.0,0.0
CHRM1,3.0,3.0,3.0,0.0,0.0
OR2A1,3.0,3.0,3.0,0.0,0.0
TSPEAR-AS2,3.0,3.0,3.0,0.0,0.0
RPLP1P11,3.0,3.0,3.0,0.0,0.0
CXCL5,3.0,3.0,3.0,0.0,0.0
EREG,3.0,3.0,3.0,0.0,0.0
HM13-AS1,3.0,3.0,3.0,0.0,0.0
CBX3P4,3.0,3.0,3.0,0.0,0.0
ODF2-AS1,3.0,3.0,3.0,0.0,0.0
ZDHHC20P1,3.0,3.0,3.0,0.0,0.0
DKFZp434J0226,3.0,3.0,3.0,0.0,0.0
HMGB3P32,3.0,3.0,3.0,0.0,0.0
IGFL1P1,3.0,3.0,3.0,0.0,0.0
RPS15AP24,3.0,3.0,3.0,0.0,0.0
IGLC2,3.0,3.0,3.0,0.0,0.0
SNX18P7,3.0,3.0,3.0,0.0,0.0
TUFMP1,3.0,3.0,3.0,0.0,0.0
NAT8,3.0,3.0,3.0,0.0,0.0
IGLL3P,3.0,3.0,3.0,0.0,0.0
MTND4P12,3.0,3.0,3.0,0.0,0.0
HCN1,3.0,3.0,3.0,0.0,0.0
RN7SL199P,3.0,3.0,3.0,0.0,0.0
RN7SL656P,3.0,3.0,3.0,0.0,0.0
IGHV1OR15-1,3.0,3.0,3.0,0.0,0.0
OR2L13,3.0,3.0,3.0,0.0,0.0
RPL23AP81,3.0,3.0,3.0,0.0,0.0
RPL39P,3.0,3.0,3.0,0.0,0.0
IBA57-AS1,3.0,3.0,3.0,0.0,0.0
TMEM215,3.0,3.0,3.0,0.0,0.0
RHOT1P2,3.0,3.0,3.0,0.0,0.0
E2F6P1,3.0,3.0,3.0,0.0,0.0
RPL21P110,3.0,3.0,3.0,0.0,0.0
IGHA2,3.0,3.0,3.0,0.0,0.0
RN7SKP173,3.0,3.0,3.0,0.0,0.0
EIF4EP1,3.0,3.0,3.0,0.0,0.0
ZBED9,3.0,3.0,3.0,0.0,0.0
