,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
IGHV3-72,3.0000000330473995,3.0000000119678467,3.000000000241736,-2.1079552769975862e-08,2.22658873560988e-08
TPSB2,3.0000000330085945,2.9999999902434915,3.0000000058227227,-4.276510301437497e-08,5.803320490826991e-09
LCE2A,3.00000003191523,2.999999996053114,2.999999999986044,-3.586211594353017e-08,1.3998127990078046e-08
PLA2G4D,3.0000000298023224,3.0000000007852328,3.000000004875748,-2.901708961999816e-08,1.0418029994241351e-08
IGKV1D-33,3.0000000293778917,2.999999999418075,2.9999999983248196,-2.99598168496118e-08,1.6073163688901104e-08
PRSS1,3.000000029181441,2.9999999993325903,2.9999999989043262,-2.984885050238972e-08,1.5352689342051917e-08
KRT2,3.000000029088293,3.0000000134656752,3.000000003196519,-1.562261786602903e-08,1.808046512508099e-08
ACER1,3.0000000273187957,3.0000000099523687,3.000000000813929,-1.736642696315016e-08,1.7821653042204844e-08
KRTAP1-5,3.000000026305012,3.0000000129521585,2.9999999969748066,-1.335285348957882e-08,2.2653778408709968e-08
KRT33B,3.0000000261804494,3.000000002925648,3.000000002744914,-2.3254801195804475e-08,1.1808134470214782e-08
FLG2,3.0000000259751687,3.0000000017734316,2.9999999820828016,-2.4201737058859862e-08,3.179149832277517e-08
KRTAP9-3,3.000000025892708,2.9999999944402544,2.9999999981375383,-3.145245353053383e-08,1.202894273077959e-08
GPR143,3.000000022351742,2.9999999989904964,3.0000000051721663,-2.3361245382602647e-08,5.498952848626004e-09
EIF1AY,3.000000021789068,3.000000004451174,3.000000004727049,-1.7337893787328085e-08,8.393072015167036e-09
LCE3E,3.00000002166621,3.0000000075354065,2.999999989304407,-1.4130803638323641e-08,2.5296401418017922e-08
AQP5,3.00000002159292,3.000000003351576,3.0000000014520123,-1.8241343990865744e-08,1.1020235834990899e-08
CALML3,3.0000000215465357,3.000000009385763,3.000000003269412,-1.216077283316963e-08,1.2196737397829338e-08
KRTAP3-2,3.0000000214980296,2.999999997819939,3.0000000062144743,-2.367809059933279e-08,3.4445100105529036e-09
DCD,3.0000000211875886,3.000000009362144,3.000000010146415,-1.1825444623525527e-08,5.128451441294146e-09
IGKV1-33,3.0000000210517705,2.9999999959096812,2.99999999224762,-2.5142089299379222e-08,1.6233105970542283e-08
SPRR2A,3.000000020974994,3.0000000197485135,3.000000011903387,-1.2264806947825946e-09,8.4583668957805e-09
