,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
RP11-459D22.1,3.0,3.0,3.0,0.0,0.0
RPS4Y1,3.0,3.0,3.0,0.0,0.0
AC004791.2,3.0,3.0,3.0,0.0,0.0
RNF222,3.0,3.0,3.0,0.0,0.0
C6orf15,3.0,3.0,3.0,0.0,0.0
IGLV3-27,3.0,3.0,3.0,0.0,0.0
ATP13A5,3.0,3.0,3.0,0.0,0.0
PLA2G4E-AS1,3.0,3.0,3.0,0.0,0.0
IGLC1,3.0,3.0,3.0,0.0,0.0
CTB-60B18.18,3.0,3.0,3.0,0.0,0.0
RP11-977G19.10,3.0,3.0,3.0,0.0,0.0
SLCO4A1-AS1,3.0,3.0,3.0,0.0,0.0
STK19B,3.0,3.0,3.0,0.0,0.0
RP3-425C14.6,3.0,3.0,3.0,0.0,0.0
OR2I1P,3.0,3.0,3.0,0.0,0.0
RP4-568C11.4,3.0,3.0,3.0,0.0,0.0
LRRC26,3.0,3.0,3.0,0.0,0.0
LRIT2,3.0,3.0,3.0,0.0,0.0
TRBV7-9,3.0,3.0,3.0,0.0,0.0
DAZ1,3.0,3.0,3.0,0.0,0.0
RN7SL12P,3.0,3.0,3.0,0.0,0.0
AC003092.1,3.0,3.0,3.0,0.0,0.0
AC025048.1,3.0,3.0,3.0,0.0,0.0
IGLV9-49,3.0,3.0,3.0,0.0,0.0
RP11-63M22.2,3.0,3.0,3.0,0.0,0.0
RP11-723O4.7,3.0,3.0,3.0,0.0,0.0
KRTAP2-2,3.0,3.0,3.0,0.0,0.0
DEFB109P3,3.0,3.0,3.0,0.0,0.0
SNORA74A,3.0,3.0,3.0,0.0,0.0
AP000439.3,3.0,3.0,3.0,0.0,0.0
AZGP1P1,3.0,3.0,3.0,0.0,0.0
TNS4,3.0,3.0,3.0,0.0,0.0
RNU11,3.0,3.0,3.0,0.0,0.0
RP11-34P13.16,3.0,3.0,3.0,0.0,0.0
XIST,3.0,3.0,3.0,0.0,0.0
IGHV3-74,3.0,3.0,3.0,0.0,0.0
RP11-229E13.4,3.0,3.0,3.0,0.0,0.0
RP11-486L19.2,3.0,3.0,3.0,0.0,0.0
RP1-159A19.3,3.0,3.0,3.0,0.0,0.0
AC005363.9,3.0,3.0,3.0,0.0,0.0
FABP7,3.0,3.0,3.0,0.0,0.0
CTA-398F10.2,3.0,3.0,3.0,0.0,0.0
RP11-265N6.1,3.0,3.0,3.0,0.0,0.0
KRT42P,3.0,3.0,3.0,0.0,0.0
KRTAP1-1,3.0,3.0,3.0,0.0,0.0
AC104534.3,3.0,3.0,3.0,0.0,0.0
RP4-545L17.11,3.0,3.0,3.0,0.0,0.0
RP11-434D2.11,3.0,3.0,3.0,0.0,0.0
ASPG,3.0,3.0,3.0,0.0,0.0
KRTAP2-3,3.0,3.0,3.0,0.0,0.0
KRTAP1-3,3.0,3.0,3.0,0.0,0.0
NLRP10,3.0,3.0,3.0,0.0,0.0
AC016629.7,3.0,3.0,3.0,0.0,0.0
